"","id","fast_greedy","walks","infomap","louvain"
"545","283",2,4,1,1
"546","297",2,3,1,3
"547","298",2,3,1,3
"548","305",3,4,1,3
"549","309",1,4,1,3
"550","312",4,4,1,1
"551","321",2,3,1,3
"552","322",2,3,1,2
"553","330",1,4,1,4
"554","353",1,4,1,3
"555","360",1,4,1,3
"556","370",4,4,1,1
"557","387",1,4,1,3
"558","419",1,1,2,3
"559","443",2,2,1,2
"560","459",2,2,1,2
"561","462",2,3,1,1
"562","488",2,2,1,2
"563","508",2,3,1,2
"564","520",2,2,1,2
"565","524",1,4,3,4
"566","525",2,2,5,2
"567","532",2,2,5,2
"568","540",4,4,1,1
"569","558",1,4,1,3
"570","581",4,3,1,1
"571","583",1,4,1,3
"572","600",1,4,1,3
"573","640",1,1,2,4
"574","641",3,4,1,3
"575","674",2,3,1,1
"576","706",2,3,1,3
"577","712",2,2,1,2
"578","717",2,3,1,2
"579","744",1,1,2,4
"580","758",1,1,4,4
"581","74",1,4,1,3
"582","86",3,4,1,3
"583","91",3,3,1,3
"584","118",1,4,1,3
"585","125",2,3,1,3
"586","138",1,4,3,4
"587","148",1,4,1,3
"588","161",1,4,1,3
"589","185",1,4,1,3
"590","190",1,4,1,3
"591","207",1,1,2,4
"592","211",1,1,2,4
"593","218",1,1,2,4
"594","235",2,3,1,3
"595","245",1,4,1,3
"596","279",4,4,1,1
"597","280",1,1,2,4
"598","291",1,4,1,3
"599","310",3,4,1,3
"600","329",4,4,1,1
"601","412",2,3,1,3
"602","423",1,1,2,4
"603","424",1,1,2,4
"604","551",2,2,5,2
"605","597",1,1,2,4
"606","602",1,4,1,3
"607","603",3,4,1,3
"608","610",1,1,2,4
"609","612",1,1,2,4
"610","614",1,1,2,4
"611","615",1,1,2,4
"612","617",1,1,2,4
"613","621",1,1,2,4
"614","624",1,4,1,3
"615","625",1,1,2,4
"616","627",1,1,2,4
"617","630",1,4,1,3
"618","653",1,1,2,4
"619","658",1,1,2,4
"620","665",1,1,2,4
"621","669",1,4,1,3
"622","670",1,1,2,4
"623","675",1,1,2,4
"624","676",1,4,1,3
"625","680",1,1,2,4
"626","681",1,1,2,4
"627","683",1,1,2,4
"628","684",1,1,2,4
"629","689",1,1,2,4
"630","694",1,1,2,4
"631","724",1,1,2,4
"632","725",1,1,2,4
